time(s),Force(kN),Acceleration(g)
0.00904,13.228,-370.024
0.00908,12.206,-347.181
0.00912,10.076,-372.404
0.00916,7.738,-394.453
0.0092,5.275,-390.639
0.00924,2.837,-378.721
0.00928,0.966,-421.965
0.00932,-0.517,-422.744
0.00936,-1.433,-415.831
0.0094,-2.132,-411.788
0.00944,-2.66,-387.205
0.00948,-2.797,-358.396
0.00952,-2.782,-355.329
0.00956,-2.757,-345.045
0.0096,-2.757,-326.444
0.00964,-2.748,-305.219
0.00968,-2.745,-288.998
0.00972,-2.736,-302.472
0.00976,-2.733,-327.176
0.0098,-2.733,-357.389
0.00984,-2.733,-355.436
0.00988,-2.727,-340.009
0.00992,-2.724,-317.35
0.00996,-2.724,-318.845
0.01,-2.721,-354.49
