# YZ protector map, back (x < 0). Pixel = 0.05m. Thickness mm per cell.
# density 0.4
# 厚度值与厚度 PNG 相同：hexbin gridsize=50、reduce=max；再写入本矩形格中心所在六边形的值（前/后仅 x 分区）
z\y	-0.40	-0.35	-0.30	-0.25	-0.20	-0.15	-0.10	-0.05	-0.00	0.05	0.10	0.15	0.20	0.25	0.30	0.35	0.40
0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.25	0	0	0	0	6	6	6	0	0	0	6	6	0	0	0	0	0
0.30	0	0	0	0	0	6	6	0	0	0	6	6	0	0	0	0	0
0.35	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
0.40	0	0	0	0	6	6	6	0	0	0	0	6	6	0	0	0	0
0.45	0	0	0	0	6	6	6	0	0	0	0	6	6	0	0	0	0
0.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.60	0	0	6	6	0	0	0	0	0	0	0	0	0	6	6	0	0
0.65	0	0	6	6	0	0	0	0	0	0	0	0	0	6	6	0	0
0.70	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.75	0	0	0	0	6	6	0	0	0	0	0	6	6	0	0	0	0
0.80	0	0	6	6	0	6	0	0	6	0	0	6	6	6	6	0	0
0.85	0	0	6	6	0	0	0	0	0	0	0	0	0	6	6	0	0
0.90	0	0	6	6	6	0	0	0	0	0	0	0	6	6	6	0	0
0.95	0	0	6	6	6	0	0	0	0	0	0	0	6	6	6	0	0
1.00	0	0	6	6	0	0	0	6	6	6	0	0	0	6	0	0	0
1.05	0	0	6	6	0	0	6	6	6	6	6	0	0	6	0	0	0
1.10	0	0	0	6	6	0	6	6	6	6	6	0	6	6	0	0	0
1.15	0	0	0	6	6	0	0	6	6	6	0	0	6	6	0	0	0
1.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.30	0	0	0	0	0	0	0	6	6	6	0	0	0	0	0	0	0
1.35	0	0	0	0	0	0	0	6	6	6	0	0	0	0	0	0	0
1.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
